"CONTACT","CONTPHONE","CONTRACT","DIMENSIONS","DOL_NUM","EVENTPRO_LOT","FEATURETYPE","INSPECTS","LOC_NAME","LOT_LOC","MAP_PAGE","NAMELABEL","OBJECTID","ORIG_FID","PRODUCT","SUB","TICKETS","URL","VENDORTYPE","y","x"
"","","Davis Concessions","20 X 29","","LOT G13.3","Vendor","F&D","Grandstand","G-13.3","Page 7","Davis Con.",1,1,"Cotton Candy, Candy Apples, Caramel Corn & Confections","","","","",35.795005,-78.71098
"","","Barb Wilson Enterprises Inc.","21 X 29","","LOT G13.1","Vendor","F&D","Grandstand","G-13.1","Page 7","Barb Wilson",2,2,"Frozen Banana, Floats, Sundaes & Ice Cream","","","","",35.794956,-78.711054
"","","Chesapeake Food Concessions, Inc.","16 X 26","","LOT C025","Vendor","WAKE","C Lot","C-25","Page 3","Chesapeake ",3,3,"Hot Dogs, Italian Sausage, Cheese Steak, Fries, Corndogs, Turkey Legs & Drinks","","","","",35.795002,-78.712085
"","","Got To Be NC Dairy Products","10X10","","LOT E010-DEMO","Vendor","F&D","Graham/Dorton","E-10","Page 6","Got2Be Nc",4,4,"Cheese & Goat Milk Ice Cream (Shake And Make) Demonstration - Gratis ","","","","",35.794129,-78.711411
"","","Benjamin Merrill Dba Rockin' Comet Diner","20 X 30","","LOT E007","Vendor","WAKE","Graham/Dorton","E-7","Page 6","Rockin' Comet Diner",5,5,"BBQ, Beef, Chicken, Pork Ribs, Corn & Drinks","","","","",35.793978,-78.711343
"","","Eagle Concessions, Inc.","24 x 13","","LOT D013","Vendor","F&D","D Lot","D-13","Page 4","Eagle Con.",6,6,"Confection","","","","",35.794464,-78.711394
"","","Tabron, Nick","10 X 8","","LOT D003","Vendor","OTHER","D Lot","D-3","Page 4","Tabron, Nick",7,7,"Cariacutures","","","","",35.794762,-78.710726
"","","Pinson Novelties","17 X 10","","LOT D002","Vendor","OTHER","D Lot","D-2","Page 4","Pinson",8,8,"Novelties","","","","",35.794731,-78.710871
"","","Exchange Club Of New Hope/Wilders","31 X 26","","LOT P003","Vendor","WAKE","Grandstand","P-3","Page 7","Exchange Club",9,9,"BBQ Ribs, Italian & Polish Sausage, London Broil, Burgers, Hot Dogs, Fries & Drinks","","","","",35.795045,-78.711438
"","","Clark, Lorene","20 X 14","","LOT L001","Vendor","WAKE","L Lot","L-01","Page 15","Clark, L",10,10,"Italian & Polish Sausage, Corn/Hot Dogs, Root Beer, Hamburgers, Fries, ","","","","",35.795265,-78.708516
"","","M Goldburg Associates","11 x 11","","LOT L011","Vendor","OTHER","L Lot","L-11","Page 15","Goldburg",11,11,"Novelty","","","","",35.795199,-78.709013
"","","Old Style Foods","8 X 12","","LOT I004","Vendor","F&D","I Lot","I-04","Page 11","Old Style Foods",12,12,"Coffee & Sweet Tea","","","","",35.794894,-78.709857
"","","Clark, Lorene","14 X 18","","LOT I009","Vendor","WAKE","I Lot","I-09","Page 11","Clark, L",13,13,"Corn Dogs, Nachos, Drinks/Water, Snowie Ice & Slush","","","","",35.794995,-78.709547
"","","Beaver, Michael & Sheila","15 X 28","","LOT I010","Vendor","WAKE","I Lot","I-10","Page 11","Beaver, M",14,14,"Funnel Cakes, Krispy Kreme Burger, Hawaiian Burger (Pineapple And Teriyaki Sauce), BBQ, & Cole Slaw), Bacon Cheeseburger With Mac & Cheese, Flamin' Hot Burger (Cheese, Bacon, Jalapeno & Chipotle Sauce), Fresh Strawberries & Creme Filled Doughnut, Soda & Water","","","","",35.795009,-78.709474
"","","Connies Corn","10 X 20","","LOT I007","Vendor","WAKE","I Lot","I-07","Page 11","Connies Corn",15,15,"Roasted Corn, Pickle & Drinks","","","","",35.795037,-78.709424
"","","Woodys Sports Tavern & Grill","12 X 21","","LOT G 15.5","Vendor","WAKE","Lunchstand","G-15.5","Page 8","Woody's Tavern",16,16,"Chicken Wings, Boneless Wings, Spicy Buffalo Chicken Rangoons, Fried Pickles, Tenders, Thanksgiving Egg Rolls, Philly Cheese Steak Egg Rolls, Baked Pimento Cheeseburger Egg Roll, Shrimp And Cheese Grits Egg Roll,  Deep Fried Cheesecake, Soft Drinks (No Hot Dogs Or Sausage) & Cigarettes","","","","",35.795087,-78.710657
"","","NCSU Food Science","13 X 20","","LOT G001","Vendor","F&D","Grandstand","G-1","Page 7","NCSU Q-Line",17,17,"Line For NCSU Food Science","","","","",35.795435,-78.712581
"","","Jenks Concessions","22 X 16","","LOT J004","Vendor","F&D","J Lot","J-4","Page 12","Jenks",18,18,"Confections, Drinks & Lemonade","","","","",35.794952,-78.708911
"","","Stewart Old Time Photo","25 X 20","","LOT K - STEWART OLD TIIME","Vendor","OTHER","Dorton/Hillsborough","K","Page 14","Stewart Old Time Photo",19,19,"Old Timey Photos (Mats & Frames). ","","","","",35.793226,-78.7108
"","","Mobility Concepts","30 X 30","","LOT F011","Vendor","OTHER","Gate 10","F-11","none","Mobility Concepts",20,21,"Handicapped Scooters (Electrics), Strollers, Wheelchairs & Wagons ","","","","",35.797264,-78.708964
"","","Mcbride Concessions","53 X 0","","LOT H-01","Vendor","WAKE","Scott South","H-1","Page 10","Mcbride",21,22,"Ribs, Chicken, BBQ, Polish/Italian Sausage, Steak Subs, Hot/Corn Dogs, Burgers, Fries, Veg & Drinks","","","","",35.795481,-78.709046
"","","Pinson, Martin","18 X 18","","LOT H-07","Vendor","OTHER","Scott North","H-7","Page 9","Pinson",22,23,"Novelties","","","","",35.795902,-78.709318
"","","Lees Kitchen","20 X 12","","LOT H-6.1","Vendor","WAKE","Scott North","H-6.1","Page 9","Lees Kitchen",23,24,"Jerk/Curry/Brownstew Chicken, Rice & Peas, Fried Fish, Fries, Mixed Veggies, Plaintains, Beef Patties, Coco Bread, Ox Tails, Water & Drinks. ","","","","",35.795924,-78.709249
"","","Brinkley Entertainment","32 X 30","","LOT G015","Vendor","WAKE","Lunchstand","G-15","Page 8","Brinkley Ent",24,25,"Steak/Cheese, Polish & Ital, Sausage, Hot/Corn Dogs, Fries, Onion Rings, Chicken Nuggets & Drinks","","","","",35.794948,-78.710655
"","","Mrk & J Concessions","25 x 40","","LOT A-11","Vendor","F&D","A Lot","A-11","Page 1","Mrk & J Con",25,26,"Chocolate Chip Cookies, Water & Milk","","","","",35.795169,-78.712616
"","","Als French Fries","10 X 14","","LOT G012","Vendor","WAKE","Grandstand","G-12","Page 7","Als ",26,27,"French Fries & Drinks","","","","",35.795059,-78.711585
"","","F&W Concessions, Inc.","18 X 26","","LOT G011","Vendor","WAKE","Grandstand","G-11","Page 7","F & W Con",27,28,"London Broil, Steak & Chicken Sandwich & Drinks","","","","",35.795086,-78.711641
"","","Normant Rick","37 X 18","","LOT G010","Vendor","F&D","Grandstand","G-10","Page 7","Normant, Rick",28,29,"Taffy, Fudge & Cotton Candy","","","","",35.795117,-78.711761
"","","Denning, Dan","12 X 8","","LOT G009","Vendor","OTHER","Grandstand","G-9","Page 7","Denning, Dan",29,30,"Novelties - T-Shirts & Hats","","","","",35.795136,-78.711869
"","","Libbertt Concessions","13 X 20","","LOT B009","Vendor","F&D","B Lot","B-9","Page 2","Libbertt Con",30,31,"Ice Cream, Shakes, Sundaes And Soda.","","","","",35.795217,-78.712429
"","","The Dog Wagon","14 X 21","","LOT B010","Vendor","WAKE","B Lot","B-10","Page 2","The Dog Wagon",31,32,"Hot/Corn Dogs, Fries, Sausage Dogs, Italian & Polish Sausage, Chicken Tenders, Soda, Tea & Water.","","","","",35.795204,-78.712374
"","","Barb Wilson Enterprises Inc.","18 X 18","","LOT B011","Vendor","WAKE","B Lot","B-11","Page 2","Barb Wilson Enterprises",32,33,"Pizza & Drinks","","","","",35.795187,-78.712317
"","","Mcbride Concessions","25 X 10","","LOT B","Vendor","WAKE","B Lot","B-12","Page 2","Mcbride ",33,34,"Turkey Legs, Ital/Polish Sausage, Philly Steak/Cheese, Hot/Corn Dogs, Fries, Veg, Onion Rings, Ribs, Confections & Drinks","","","","",35.795147,-78.712185
"","","Poutine Gourmet","20 X 15","","LOT B003","Vendor","WAKE","B Lot","B-3","Page 2","Poutine Gourmet",34,35,"Poutine - French Fries, Cheese Curds, Gravy, Pulled Chicken And Pork, Ground Beef, Soda & Water.","","","","",35.795085,-78.712197
"","","Best Around Concessions","23 X 10","","LOT B005","Vendor","F&D","B Lot","B-5","Page 2","Best Around Concessions",35,36,"Cotton Candy, Candy Apples, Popcorn, Caramel Corn & Drinks","","","","",35.795074,-78.712373
"","","Jlnguyeninc Dba Chans Concessions","24 X 12","","LOT B006","Vendor","WAKE","B Lot","B-6","Page 2","Jlnguyeninc ",36,37,"Chicken On A Stick, Fried Shrimp, Rice, Veggie Rice, Lo Mein Noodle, Egg Rolls, Water & Soda","","","","",35.795139,-78.7124
"","","Mazzarella Pizza, Inc.","30 X 30","","LOT A013","Vendor","WAKE","A Lot","A-13","Page 1","Maz. Pizza",37,38,"Pizza, Pizza Cone, Stromboli & Drinks","","","","",35.795254,-78.712618
"","","Jenks Concessions","22 X 15","","LOT C023","Vendor","F&D","C Lot","C-23","Page 3","Jenks ",38,39,"Confections & Drinks","","","","",35.794928,-78.712258
"","","Anderson And Daughters","18 X 24","","LOT C021","Vendor","WAKE","C Lot","C-21","Page 3","Anderson",39,40,"Cobbler, Bake Potato, Hot Dogs, Fries, Hamburgers, Soup, Ham/Sausage Biscuits, Blt & Drinks","","","","",35.794705,-78.712102
"","","South Raleigh Civitan","16 X 24","","LOT C020","Vendor","WAKE","C Lot","C-20","Page 3","South Raleigh Civitan",40,41,"Hot Dogs, Fries, Candy, Drug Store, Tobacco, Cigarettes, Snuff, Chocolate, Chick-Fil-A-Chicken","","","","",35.794611,-78.712045
"","","The Cary Inn","20 X 24","","LOT C018","Vendor","WAKE","C Lot","C-18","Page 3","The Cary Inn",41,42,"Hot Dogs, Hamburgers, French/Cheese Fries, Nachos, Chicken Wings, Water, Soda & Energy Drinks.","","","","",35.794549,-78.712007
"","","Mcbride Concessions","51 X 0","","LOT C016","Vendor","WAKE","C Lot","C-16","Page 3","Mcbride ",42,43,"Turkey Legs & Drinks","","","","",35.794451,-78.711899
"","","Als French Fries","9 X 19","","LOT C014","Vendor","WAKE","C Lot","C-14","Page 3","Als",43,44,"French Fries & Drinks","","","","",35.794306,-78.71186
"","","Captain Neils Seafood","18 X 12","","LOT C012","Vendor","WAKE","C Lot","C-12","Page 3","Neils Dining Area",44,45,"Seating ","","","","",35.794291,-78.711794
"","","Captain Neils Seafood","25 X 25","","LOT C011","Vendor","WAKE","C Lot","C-11","Page 3","Captain Neils",45,46,"Crab Cakes, Shrimp, Fish, Oysters, Scallops, Clam Strips, Soft Crabs, Fresh Crab Dip, Calamari And Crab Claws, Crabmeat Blended With Cheese On Crackers, Deep Fried Lobster On A Stick, Firecracker Shrimp With Asian Slaw, Fried Shrimp Tacos With Pineapple Salsa, French Fries, Soda & Water.","","","","",35.794332,-78.711728
"","","Drury Enterprises","8 X 18","","LOT C010","Vendor","F&D","C Lot","C-10","Page 3","Drury ",46,47,"Donuts, Frozen Cheesecake, Turtle Pie, Key Lime Pie On A Stick Dipped In Chocolate, Frozen Fruit On A Stick , Tea & Sodas","","","","",35.79435,-78.71166
"","","Whiteners Concession","20 X 14","","LOT C009","Vendor","F&D","C Lot","C-9","Page 3","Whitener",47,48,"Confection","","","","",35.794366,-78.711596
"","","Mcbride Concessions","66 X 0","","LOT C007","Vendor","WAKE","C Lot","C-7","Page 3","Mcbride ",48,49,"Turkey Legs, Ital/Polish Sausage, Philly Steak/Cheese, Hot/Corn Dogs, Fries, Veg, Onion Rings, BBQ Balls, Wings & Ribs","","","","",35.794484,-78.711724
"","","Dr. Vegetable, Inc.","30 X 15","","LOT D-19","Vendor","WAKE","D Lot","D-19","Page 4","Dr. Vegetable",49,50,"Fried Vegetables, Corn Dogs, Lemonade & Soft Drinks","","","","",35.794844,-78.71173
"","","Grannys Funnel Cakes","28 X 13","","LOT C003-1","Vendor","F&D","C Lot","C-2","Page 3","Grannys Funnel",50,51,"Funnel Cakes, Fried Oreo's, Fried Bananas & Drinks","","","","",35.794974,-78.711959
"","","Gilliam, Gypsy","20 X 15","","LOT C001","Vendor","F&D","C Lot","C-1","Page 3","Gilliam, G",51,52,"Fudge, Cotton Candy, Popcorn, Candy Apples & Drinks","","","","",35.795037,-78.712009
"","","Santillo Sausage, Inc.","20 x 30","","LOT C-29","Vendor","WAKE","C Lot","C-29","Page 3","Santillo ",52,53,"Italian/Polish Sausage, Cheese Steaks, Burgers, Hot Dogs, Cheese/Fries & Drinks","","","","",35.794953,-78.712181
"","","Strates Fine Food","31 x 20","","LOT C-26","Vendor","WAKE","C Lot","C-26","Page 3","Strates Fine Food",53,54,"Gyros, Chicken Pita, Shish Ka Bobs, Greek Salads & Drinks (No Hot Dogs/Sausage)","","","","",35.794808,-78.712174
"","","Royer Concessions","30 X 18","","LOT E014","Vendor","WAKE","Graham\Expo Plaza","E-14","Page 5","Royer Concessions",54,55,"Fried Veggie, Mushrooms, Cauliflower, Broccoli, Zucchini, Onion Rings, Chicken Fingers, Blooming Onions, Popcorn Chic, French Fries","","","","",35.794135,-78.711871
"","","Tack Concessions LLC","20 X 16","","LOT E013","Vendor","F&D","Graham\Expo Plaza","E-13","Page 5","Mcbride, A",55,56,"Cotton Candy, Candy Apples, Caramel Apples, Popcorn, Soda & Water","","","","",35.794176,-78.711786
"","","Jmb Concessions LLC","21 X 27","","LOT E012","Vendor","WAKE","Graham\Expo Plaza","E-12","Page 5","Jmb Con",56,57,"Cinnamon Buns, Apple Crisp, Sticky Buns, Strawberry Shortcake, Smoothies, Ice/Hot Coffee, Water, Sodas & Hot Chocolate.","","","","",35.794208,-78.711711
"","","Strates Fine Food","68 X 40","","LOT E011","Vendor","WAKE","Graham/Dorton","E-11","Page 6","Strates Fine Foods",57,58,"Hot/Foot/Corn Dogs, Chicken Fingers/Pita, Burgers (Cheese), Fries (Cheese), Cheese Steaks, Italian Sausages, Pig In A Jar (Pulled Pork, Bake Beans, Cole Slaw), Ice/Hot Tea, Coffee, Gatorade, Hot Chocolate, Lemonade (Strawberry) & Coke Products. 1 Year Only","","","","",35.794207,-78.711518
"","","Rudys","23 X 14","","LOT E008","Vendor","WAKE","Graham/Dorton","E-8","Page 6","Rudys",58,59,"Pizza (Cheese, Pepperoni, Sausage, Supreme, Chicken Ranch, Buffalo Mac & Cheese), Stromboli (Pepperoni, Cheese, Sausage), Soda, Water, Sweet Tea & Lemondae. ","","","","",35.794048,-78.711359
"","","Black's Concessions","12 X 12","","LOT D014","Vendor","F&D","D Lot","D-14","Page 4","Black Con",59,60,"Ice Cream & Frozen Bananas","","","","",35.794486,-78.711465
"","","Pinkston Enterprises","16 X 24","","LOT D012","Vendor","F&D","D Lot","D-12","Page 4","Pinkston Ent.",60,61,"Elephants Ears & Deep Fried Pizza","","","","",35.794509,-78.711336
"","","Pinson, Martin","13 X 15","","LOT D011","Vendor","OTHER","D Lot","D-11","Page 4","Pinson",61,62,"Novelties","","","","",35.794538,-78.711232
"","","M. Goldburg","11 X 11","","LOT D027","Vendor","WAKE","D Lot","D-27","Page 4","M. Goldburg",62,63,"T-Shirt Spray Paint - 1 Year Only. (No Offensive Products; We Will Have The Right To Ask You To Remove Any Products We Feel That Is Inappropriate).","","","","",35.79492,-78.711571
"","","Raleigh Downtown Lions Club","14 X 15","","LOT D009","Vendor","F&D","D Lot","D-9","Page 4","Ral. Dt. Lions Club",63,64,"Kettle Korn, Soda & Water (Non-Profit)","","","","",35.794585,-78.711142
"","","Tropical Delights","15 X 20","","LOT D008","Vendor","WAKE","D Lot","D-8","Page 4","Tropical Delights",64,65,"Frozen Fruit Smoothies Served In Cored Out Pineapples Or Coconuts; Speciality Cups And 16 Oz Plastic Cups. Flavors Included Strawberry, Peach, Pina Colada, Mango. Lemonade, Hot Chocolate, Coffee And Hot Apple Cider.","","","","",35.794619,-78.711085
"","","Beaver Concessions","15 X 23","","LOT D007","Vendor","F&D","D Lot","D-7","Page 4","Beaver Concessions",65,66,"Cheerwine Funnel Cake, Elephant Ears, Deep Fried Pumpkin Pie, Oreo Pie, Key Lime Pie, Cheesecake & Drinks","","","","",35.794636,-78.711017
"","","Poniros, Steve & Freeda","12 X 20","","LOT D005","Vendor","WAKE","D Lot","D-5","Page 4","Poniros",66,67,"Hot Dogs, Italian/Polish Sausage, Pound Cake, Baklava, Sodas & Water","","","","",35.794659,-78.710968
"","","Black's Concessions","22 x 12","","LOT D001","Vendor","F&D","D Lot","D-1","Page 4","Black Con",67,68,"Ice Cream (Rolled), Dipped Cheesecake, Dipped Fruit, Coffee, Hot Chocolate, Water, Soda & Frozen Bananas. Rolled Ice Cream.","","","","",35.794781,-78.71066
"","","Holder, John W. Jr","15 X 19","","LOT D037","Vendor","WAKE","D Lot","D-37","Page 4","Holder, John",68,69,"Hot Dogs, Burgers, Ital/Polish Sausages, Prepackage Chips, Nachos/Cheese, Fries, Fried Chicken Tenders, Sodas And Bottle Water.","","","","",35.794786,-78.710923
"","","Eagle Concessions, Inc.","23 X 14","","LOT D036","Vendor","F&D","D Lot","D-36","Page 4","Eagle Con",69,70,"Confection","","","","",35.794806,-78.710993
"","","Pinson, Martin","14 X 15","","LOT D035","Vendor","OTHER","D Lot","D-35","Page 4","Pinson",70,71,"Novelties","","","","",35.794822,-78.71106
"","","The Cates Company","16 X 16","","LOT D034","Vendor","OTHER","D Lot","D-34","Page 4","The Cates Co",71,72,"Jewelry (Chain By The Inch & Charms)","","","","",35.794828,-78.71112
"","","Hills Corn On The Cob","20 X 30","","LOT D033","Vendor","WAKE","D Lot","D-33","Page 4","Hills Corn On The Cob",72,73,"Corn On Cob, Ham Biscuits, Eggs & Drinks","","","","",35.794823,-78.711193
"","","Chefs Dlites","13 X 19","","LOT D032","Vendor","WAKE","D Lot","D-32","Page 4","Chefs Dlites",73,74,"Deep Fried Cuban Roll, Grilled Pork Chop Sandwich, Deep Fried: Mac & Cheese, Banana Split/Puddin Bites, Choc Chip Cookies Dough, Oreo Cookies, Brownie, Deep Fried Klondike Bar, Deep Fried Key Lime Bites, Brownie Sundae (Vanilla Ice Cream Only), Mini Cinnamon Rolls/Cup Cakes, Water, Soda & Flav Lemonade. Cinnamon Toast Crunch Apple Cobbler Bites.  ","","","","",35.794848,-78.711249
"","","King, Mark","12 X 22","","LOT D031","Vendor","WAKE","D Lot","D-31","Page 4","King, Mark",74,75,"Hot/Corn Dogs, Burgers, Fries & Drinks","","","","",35.794868,-78.711348
"","","Veggie Patch","21 X 20","","LOT D030","Vendor","WAKE","D Lot","D-30","Page 4","Veggie Patch",75,76,"Tempura Vegetables (Zucchini, Broccoli, Onions, Mushrooms) Sweet Potatoes, Egg Rolls, Mozzarella Sticks W/ Marinara Sauce & Drinks","","","","",35.794885,-78.711409
"","","Pittsboro Kiwanis Club","16 X 15","","LOT D029","Vendor","WAKE","D Lot","D-29","Page 4","Pittsboro Kiwanis",76,77,"Ham Biscuits, Drinks & Water","","","","",35.794905,-78.711472
"","","Blanchard, C.H. & Jerry","8 X 12","","LOT D028","Vendor","F&D","D Lot","D-28","Page 4","Blanchard",77,78,"Roasted Peanuts/Boiled & Drinks","","","","",35.794914,-78.711526
"","","Saxapahaw Development Club","15 X 23","","LOT D-26.1","Vendor","F&D","D Lot","D-26.1","Page 4","Saxa.",78,79,"Funnel Cake (Non-Profit)","","","","",35.794932,-78.711613
"","","Douglas Farms","12 X 19","","LOT D023","Vendor","WAKE","D Lot","D-23","Page 4","Grover",79,80,"Corn (In A Cup & Cob), Flamin Hot Cheetos Corn On The Cob & Drinks. Corn With Bacon. ","","","","",35.794939,-78.711672
"","","Honigmann, David","8 X 15","","LOT D022","Vendor","OTHER","D Lot","D-22","Page 4","Honigmann",80,81,"Jewelry","","","","",35.794974,-78.71177
"","","Party In A Pita","42 x 13","","LOT D020","Vendor","WAKE","D Lot","D-20","Page 4","Party In A Pita",81,82,"Falafel, Gyro (Veggie, Chicken, Beef, Lamb, & Shrimp), Hummus/Tabouli Pita Sandwich, Stuffed Grape Leaves/Hummus Pita Sandwich, Hummus With Pita Wedges, Baba Ghanouj With Pita Wedges, Tabouli Salad, Stuffed Grape Leaves, Veggie Sampler Platter, Garlic Chicken Pita, Shawarma (Beef Or Chicken), Chicken Tenders, Breaded Shrimp, Corndog, Fries, Pita Pies (Cheese, Zaatar, Feta Spinach, Tomato/Olive/Cheese, Meat  Pie, Kishik, Spinach/Cheese Fatayer, Spinach Fatayer, Lebanses Kabobs, Rice, Bakalva Sundae, Halawet Al-Jibn, Kanafeh, Baklava, Maamoul, Muushabak, Burma, Bird Nest, Lady Finger, Mini Rose, Burma, Katayef, Jalab, Lebanese Coffee, Lemonde, Ice Tea &  Water.","","","","",35.794943,-78.711804
"","","Pinson, Martin","15 X 18","","LOT C013","Vendor","OTHER","C Lot","C-13","Page 3","Pinson",82,83,"Novelties","","","","",35.79427,-78.711845
"","","M Goldburg Associates","11 x 11","","LOT C22","Vendor","OTHER","C Lot","C-22","Page 3","Goldburg",83,84,"Novelty","","","","",35.79486,-78.712241
"","","M Goldburg Associates","11 x 11","","LOT B008","Vendor","OTHER","B Lot","B-8","Page 2","Goldburg",84,85,"Novelty","","","","",35.795221,-78.712475
"","","Pinson, Martin","15 x 15","","","Vendor","OTHER","Grandstand","G-6","Page 7","Pinson",85,86,"Novelties","","","","",35.795185,-78.711983
"","","Cool Runnings Jamaican","13 X 8","","LOT D010","Vendor","WAKE","D Lot","D-10","Page 4","Cool Runnings Jamaican",86,87,"Taco/Salad, Jerk Chicken/Pork (Wraps) With Mango Sauce, Curry Chicken, Nachos, Burritos, Beef Pies, BBQ Jerk Ribs, Chili Dogs & White Choc Bread Pudding.","","","","",35.794521,-78.71128
"","","Smith, G","27 X 14","","LOT L020","Vendor","WAKE","L Lot","L-20","Page 15","Smith, G",87,88,"Ham/Sausage Biscuits, Candy Bars, Hot/Corn/Sausage/Italian Dogs, Fries, Chicken Tenders, Cigarettes And Drinks","","","","",35.795347,-78.708572
"","","Grannys Funnel Cake #2","15 X 30","","LOT L018","Vendor","F&D","L Lot","L-18","Page 15","Grannys Funnel Cake #2",88,89,"Funnel Cakes & Drinks","","","","",35.795307,-78.708656
"","","Richard Chen","11 X 15","","LOT L017","Vendor","WAKE","L Lot","L-17","Page 15","Richard Chen",89,90,"Life Drawing Portraits And Painting.","","","","",35.795303,-78.708712
"","","Sandblasted Signs","13 X 15","","LOT L014","Vendor","OTHER","L Lot","L-14","Page 15","Sandblasted Signs",90,91,"Handmade Signs And Designs (Will Personalize All Signs On Site).","","","","",35.795212,-78.708967
"","","Hot Chix Hotcakes And Chicken","18 X 10","","LOT L003","Vendor","WAKE","L Lot","L-03","Page 15","Hot Chix Hotcakes",91,92,"Hotcakes (Various Toppings & Gourmet Sauces) & Fried Chicken Strips, Tater Tots, Eggs, Bacon, Soda, Water, Apple & Orange Juice.","","","","",35.795209,-78.708598
"","","Dean, Kenneth","27 X 38","","LOT L004","Vendor","WAKE","L Lot","L-04","Page 15","Dean, Kenneth",92,93,"Hot/Corn Dogs, Polish Sausage, Philly Steak, Burgers, Turkey Legs, Italian Sausage, Fries, 	Chicken Tenders, Soda, Water & Lemonade .","","","","",35.795212,-78.708695
"","","S2 Concessions","16 X 10","","LOT L005","Vendor","WAKE","L Lot","L-05","Page 15","S2 Con.",93,94,"Mini Donuts, Red Velvet Mini Donuts, Deep Fried Samoa Girl Scout Cookies , Deep Fried Peanut Butter Pickle, Texas Pete Glazed Donuts, Frozen Strawberry Lemonade, Lemonade, Soda, Tea, Water, Milk, Coffee, Hot Chocolate & Frozen Bananas.","","","","",35.795148,-78.708756
"","","Moose Joose","10X10","","LOT L006","Vendor","F&D","L Lot","L-06","Page 15","Moose Joose",94,95,"Sweet Tea (Frozen) - 1 Year Only","","","","",35.795126,-78.708809
"","","The Melody Maker","10 X 8","","LOT L007","Vendor","OTHER","L Lot","L-07","Page 15","Melody Maker",95,96,"Face/Body Painting. (Being A State Agency The Exposing Of Any Genital Region On A Male Or FEMAle Is Prohibited By Policy).","","","","",35.795105,-78.708855
"","","Bartholemews Of Raleigh","13X19","","LOT L008","Vendor","WAKE","L Lot","L-08","Page 15","Bartholemews",96,97,"Hot/Corn Dogs, French Fries, Corn On Cob, Burgers, Ham Biscuits & Drinks","","","","",35.795096,-78.708912
"","","Mcbride Concessions","21 X 21","","LOT L009","Vendor","WAKE","L Lot","L-09","Page 15","Mcbride ",97,98,"Turkey Legs & Drinks","","","","",35.795074,-78.70897
"","","Rice, James E.","12 X 18","","LOT L010","Vendor","WAKE","L Lot","L-10","Page 15","Rice, James",98,99,"Corn On Cob (Deep Fried), Veg Corn Soup, Baked Potatoes (Sour Cream, Butter, Bacon Bits, Cheese, Chives & Chili), Lemonade, Lemon Slush, Hot Chocolate, Coffee & Soda.","","","","",35.795113,-78.709008
"","","Eagle Concessions, Inc.","21 X 13","","LOT L012","Vendor","F&D","L Lot","L-12","Page 15","Eagle Con",99,100,"Confection","","","","",35.795155,-78.709048
"","","Santillos Inc.","35 X 30","","LOT L015","Vendor","WAKE","L Lot","L-15","Page 15","Santillo",100,101,"Italian Sausage, Steak/Cheese, Hot/Corn Dogs, Burgers, Fries & Drinks","","","","",35.795228,-78.708861
"","","Lee, Dennis","24 X 16","","LOT L016","Vendor","F&D","L Lot","L-16","Page 15","Lee, Dennis",101,102,"Cotton Candy, Candy Apples, Caramel Apples, Choc Caramel Apples, Snow Cones, Popcorn, Caramel Coated Popcorn, Dill Pickles, Bubble Gum, Candy Bars, Tea, Lemonade, Soda, Energy Drinks, Bottle Water, Hot Chocolate & Coffee.(No Hot Dogs Or Burgers)","","","","",35.79528,-78.708775
"","","Moose Joose Slush","15 X 8","","LOT I001","Vendor","F&D","I Lot","I-01","Page 11","Moose Joose",102,103,"6 - 8 Various Flavors Of Slush Drink","","","","",35.794881,-78.7099
"","","Old Style Foods","14 X 30","","LOT I005","Vendor","F&D","I Lot","I-05","Page 11","Old Style Foods",103,104,"Fried Candy Bars, Deep Fried Reese Cups, Deep Fried S'Mores, Deep Fried Pop Tarts, Deep Fried Oreo's & Drinks","","","","",35.794888,-78.709803
"","","Melton Concessions","16 X 24","","LOT I006","Vendor","F&D","I Lot","I-06","Page 11","Melton, C",104,105,"Sno Cones, Candy Apples, Cotton Candy, Popcorn & Drinks","","","","",35.794946,-78.709677
"","","Neomonde Bakery & Deli","20 X 20","","LOT I008","Vendor","WAKE","I Lot","I-08","Page 11","Neomonde",105,106,"Salads, Hummus (Cilantro/Jalapeno), Beef/Chicken Kebab, Lamb Burgers, Lamb Kafta Kabob, Falafel, Quinoa Tabouli, Phonecian Fries, Chickpea Fries, Philly Cheese Steak With Ground Lamb,  Soda & Water, Sojo Melt With Lamb","","","","",35.794967,-78.709609
"","","We Care Concessions","27 X 24","","LOT I012","Vendor","F&D","I Lot","I-12","Page 11","We Care Concessions",106,107,"Cotton Candy, Popcorn, Caramel Corn, Caramel Apples, Candy Apples, Sno Cones, Soda & Water.","","","","",35.795059,-78.709362
"","","Scottys Photo","13 x 10","","LOT I013","Vendor","OTHER","I Lot","I-13","Page 11","Scottys Photo",107,108,"Photo Mugs & Novelty - 1 Year Only","","","","",35.795078,-78.709291
"","","Favor Desserts Bakery","16 X 16","","LOT I015","Vendor","F&D","I Lot","I-15","Page 11","Favor Desserts",108,109,"Homemade Cake Slices/Mini Pies/Cupcakes, Soda, Water & Milk ","","","","",35.7951,-78.709224
"","","Pinson Novelties","20 X 24","","LOT I016","Vendor","OTHER","I Lot","I-16","Page 11","Pinson",109,110,"Novelties","","","","",35.795032,-78.709188
